X,Y,Object Type,Radius,Width,Height,Theta,HP,R,G,B
220,1224,0,30,0,0,0,300,0,0,0
450,225,0,30,0,0,0,300,0,0,0
970,840,0,30,0,0,0,300,0,0,0
330,3375,0,30,0,0,0,300,0,0,0
2050,255,0,30,0,0,0,300,0,0,0
2390,847,0,30,0,0,0,300,0,0,0
2840,345,0,30,0,0,0,300,0,0,0
3460,750,0,30,0,0,0,300,0,0,0
710,1767,0,30,0,0,0,300,0,0,0
1080,2985,0,30,0,0,0,300,0,0,0
1945,1467,0,30,0,0,0,300,0,0,0
1800,2295,0,30,0,0,0,300,0,0,0
2085,3430,0,30,0,0,0,300,0,0,0
3470,3477,0,30,0,0,0,300,0,0,0
2645,2645,0,30,0,0,0,300,0,0,0
2745,1800,0,30,0,0,0,300,0,0,0
3580,2245,0,30,0,0,0,300,0,0,0
420,2245,0,30,0,0,0,300,0,0,0
1245,3710,0,30,0,0,0,300,0,0,0
2990,3625,0,30,0,0,0,300,0,0,0
270,400,3,44,0,0,0,-1000,143,128,12
270,400,3,30,0,0,0,-1000,164,168,13
270,400,3,20,0,0,0,-1000,185,189,15
3618,2852,3,70,0,0,0,-1000,143,128,12
3618,2852,3,55,0,0,0,-1000,164,168,13
3618,2852,3,35,0,0,0,-1000,185,189,15
1165,3507,3,50,0,0,0,-1000,143,128,12
1165,3507,3,37,0,0,0,-1000,164,168,13
1165,3507,3,25,0,0,0,-1000,185,189,15
2267,376,3,50,0,0,0,-1000,143,128,12
2267,376,3,37,0,0,0,-1000,164,168,13
2267,376,3,25,0,0,0,-1000,185,189,15
1436,2117,3,78,0,0,0,-1000,143,128,12
1436,2117,3,58,0,0,0,-1000,164,168,13
1436,2117,3,38,0,0,0,-1000,185,189,15
450,2850,3,55,0,0,0,-1000,143,128,12
450,2850,3,40,0,0,0,-1000,164,168,13
450,2850,3,25,0,0,0,-1000,185,189,15
1429,2937,3,78,0,0,0,-1000,143,128,12
1429,2937,3,58,0,0,0,-1000,164,168,13
1429,2937,3,38,0,0,0,-1000,185,189,15
1732,2779,3,52,0,0,0,-1000,143,128,12
1732,2779,3,40,0,0,0,-1000,164,168,13
1732,2779,3,25,0,0,0,-1000,185,189,15
2299,2928,3,50,0,0,0,-1000,143,128,12
2299,2928,3,35,0,0,0,-1000,164,168,13
2299,2928,3,20,0,0,0,-1000,185,189,15
603,432,3,55,0,0,0,-1000,143,128,12
603,432,3,40,0,0,0,-1000,164,168,13
603,432,3,25,0,0,0,-1000,185,189,15
141,136,3,55,0,0,0,-1000,143,128,12
141,136,3,40,0,0,0,-1000,164,168,13
141,136,3,25,0,0,0,-1000,185,189,15
1098,1729,3,50,0,0,0,-1000,143,128,12
1098,1729,3,35,0,0,0,-1000,164,168,13
1098,1729,3,20,0,0,0,-1000,185,189,15
366,724,3,55,0,0,0,-1000,143,128,12
366,724,3,38,0,0,0,-1000,164,168,13
366,724,3,25,0,0,0,-1000,185,189,15
195,1039,3,57,0,0,0,-1000,143,128,12
195,1039,3,45,0,0,0,-1000,164,168,13
195,1039,3,30,0,0,0,-1000,185,189,15
449,1460,3,75,0,0,0,-1000,143,128,12
449,1460,3,55,0,0,0,-1000,164,168,13
449,1460,3,35,0,0,0,-1000,185,189,15
248,1996,3,75,0,0,0,-1000,143,128,12
248,1996,3,55,0,0,0,-1000,164,168,13
248,1996,3,35,0,0,0,-1000,185,189,15
730,2133,3,52,0,0,0,-1000,143,128,12
730,2133,3,35,0,0,0,-1000,164,168,13
730,2133,3,20,0,0,0,-1000,185,189,15
689,2464,3,67,0,0,0,-1000,143,128,12
689,2464,3,47,0,0,0,-1000,164,168,13
689,2464,3,27,0,0,0,-1000,185,189,15
266,2633,3,57,0,0,0,-1000,143,128,12
266,2633,3,40,0,0,0,-1000,164,168,13
266,2633,3,25,0,0,0,-1000,185,189,15
394,3121,3,50,0,0,0,-1000,143,128,12
394,3121,3,35,0,0,0,-1000,164,168,13
394,3121,3,20,0,0,0,-1000,185,189,15
846,2907,3,62,0,0,0,-1000,143,128,12
846,2907,3,45,0,0,0,-1000,164,168,13
846,2907,3,25,0,0,0,-1000,185,189,15
410,3393,3,80,0,0,0,-1000,143,128,12
410,3393,3,60,0,0,0,-1000,164,168,13
